author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Douglas, Penelope","Penelope Douglas","","C:\Users\chris\Calibre Library\Penelope Douglas\Corrupt [1] (51)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","51","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Devil's Night","1.0","775212","Fiction","Corrupt [1]","Corrupt [1]","0ff87df5-ffec-45de-b179-5ba6474fa900"
"Walsh, Chloe","Chloe Walsh","","C:\Users\chris\Calibre Library\Chloe Walsh\Binding 13 [1] (53)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","53","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Boys of Tommen","1.0","685641","Adult","Binding 13 [1]","Binding 13 [1]","1ecc9438-6a8b-441c-9099-5746ae905794"
"Grace, Adalyn","Adalyn Grace","<B><I>New York Times</I> bestselling author Adalyn Grace brings to life a highly romantic, Gothic-infused world of wealth, desire, and betrayal.</B><BR /> Orphaned as a baby, nineteen-year-old Signa has been raised by a string of guardians, each more interested in her wealth than her well-being&mdash;and each has met an untimely end. Her remaining relatives are the elusive Hawthornes, an eccentric family living at Thorn Grove, an estate both glittering and gloomy. Its patriarch mourns his late wife through wild parties, while his son grapples for control of the family&rsquo;s waning reputation and his daughter suffers from a mysterious illness. But when their mother&rsquo;s restless spirit appears claiming she was poisoned, Signa realizes that the family she depends on could be in grave danger and enlists the help of a surly stable boy to hunt down the killer.<BR /> &#160;<BR /> However, Signa&rsquo;s best chance of uncovering the murderer is an alliance with Death himself, a...","C:\Users\chris\Calibre Library\Adalyn Grace\Belladonna [1] (54)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","54","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Belladonna","1.0","459985","Fantasy & Magic","Belladonna [1]","Belladonna [1]","2d1ab44f-e9ab-425c-a422-8cabe55e16a1"
"Pinborough, Sarah","Sarah Pinborough","Louise is a single mom, a secretary, stuck in a modern-day rut. On a rare night out, she meets a man in a bar and sparks fly. Though he leaves after they kiss, she’s thrilled she finally connected with someone.
When Louise arrives at work on Monday, she meets her new boss, David. The man from the bar. The very married man from the bar…who says the kiss was a terrible mistake but who still can’t keep his eyes off Louise.
And then Louise bumps into Adele, who’s new to town and in need of a friend, but she also just happens to be married to David. David and Adele look like the picture-perfect husband and wife, but then why is David so controlling, and why is Adele so scared of him?
As Louise is drawn into David and Adele’s orbit, she uncovers more puzzling questions than answers. The only thing that is crystal clear is that something in this marriage is very, very wrong, but Louise can’t guess how wrong―and how far a person might go to protect their marriage’s secrets.
","C:\Users\chris\Calibre Library\Sarah Pinborough\Behind Her Eyes (55)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","55","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","830882","Thriller","Behind Her Eyes","Behind Her Eyes","ed26b82c-3ca6-4428-ab1e-5c9f999cf2e6"
"Gray, Ayana","Ayana Gray","<b><b>&ldquo;Rich in magic and mythos, <i>Beasts of Prey</i> is&nbsp;a feast for all the senses.&rdquo; &mdash;Ren&eacute;e Ahdieh, <i>New York Times</i> bestselling author of <i>The Beautiful</i></b><br>&nbsp;<br>In this much-anticipated series opener, fate binds two Black teenagers together as they strike a dangerous alliance to hunt down the creature menacing their home&mdash;and uncover ancient deadly secrets.</b><br>There&rsquo;s no such thing as magic in the broken city of Lkossa, especially for sixteen-year-old Koffi, who holds a power within her that could only be described as magic&mdash;a power that if discovered could cost her life. Indentured to the notorious Night Zoo, Koffi knows the fearsome creatures in her care and paying off her family's debts to secure their eventual freedom can be her only focus. But the night those she loves are gravely threatened by the Zoo&rsquo;s cruel master, Koffi finally unleashes the power she doesn&rsquo;t fully understand, upending...","C:\Users\chris\Calibre Library\Ayana Gray\Beasts of Prey [1] (56)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","56","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Beasts of Prey","1.0","1930012","Fantasy & Magic","Beasts of Prey [1]","Beasts of Prey [1]","4e6bd817-c10e-4247-bfd3-26145c3d7c65"
"Brennan, Sabina","Dr. Sabina Brennan","<B>An easy program of one-a-day exercises to assess your brain health, improve your memory, protect your brain from cognitive decline and slow the effects of dementia </B><br> Living a brain-healthy life is not just to reduce the risk of dementia and other serious health issues but also to improve the quality of your life and brain performance now. Investing in brain health will cost you nothing but time and effort — and the brain-healthy recommendations in this book can all be followed for free! Brain health expert Dr. Sabina Brennan's steps are simple to follow and within your control so can be integrated into daily life with ease over the course of 100 days, including:<br><li>Creating a sleep profile and plan</li><li>Assessing your stress levels and targeting specific areas to improve</li><li>Building and maintaining a social life, mental health, and emotional wellbeing</li><li>Planning out physical activity and heart-health practices</li> Dr. Brennan's assessments and quizzes...","C:\Users\chris\Calibre Library\Dr. Sabina Brennan\100 Days to a Younger Brain (57)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","57","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","2209944","Self Improvement","100 Days to a Younger Brain","100 Days to a Younger Brain","aba7d2b3-732f-4425-972b-60911ad70087"
"Follmuth, Alexene Farol","Alexene Farol Follmuth","<p><b>From the <i>New York Times</i> bestselling author of <i>The Atlas Si</i>x (under the penname Olivie Blake) comes <i>Twelfth Knight</i>, a YA romantic comedy and coming of age story about taking up space in the world and learning what it means to let others in.</b><br>Viola Reyes is annoyed.<br>Her painstakingly crafted tabletop game campaign was shot down, her best friend is suggesting she try being more ""likable,"" and her school's star running back Jack Orsino is the most lackadaisical Student Body President she's ever seen, which makes her job as VP that much harder. Vi's favorite escape from the world is the MMORPG Twelfth Knight, but online spaces aren't exactly kind to girls like her&#8212;girls who are extremely competent and have the swagger to prove it. So Vi creates a masculine alter ego, choosing to play as a knight named Cesario to create a safe haven for herself.<br>But when a football injury leads Jack Orsino to the world of Twelfth Knight, Vi is alarmed to...","C:\Users\chris\Calibre Library\Alexene Farol Follmuth\Twelfth Knight (58)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","58","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","2138999","Romance","Twelfth Knight","Twelfth Knight","007c6378-aed8-42e0-b52f-8bd7aadbaa87"
"Knorr, A.L.","A.L. Knorr","","C:\Users\chris\Calibre Library\A.L. Knorr\A Blossom at Midnight [1] (59)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","59","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Scented Court","1.0","521119","Fantasy & Magic","A Blossom at Midnight [1]","Blossom at Midnight [1], A","fed6a431-c84e-44e7-a0d8-a5122a7d1677"
"Kennedy, Louise","Louise Kennedy","Set in Northern Ireland during the Troubles, a shattering novel about a young woman caught between allegiance to community and a dangerous passion.
Amid daily reports of violence, Cushla lives a quiet life with her mother in a small town near Belfast. By day she teaches at a parochial school; at night she fills in at her family's pub. There she meets Michael Agnew, a barrister who's made a name for himself defending IRA members. Against her better judgment - Michael is not only Protestant but older, and married - Cushla lets herself get drawn in by him and his sophisticated world, and an affair ignites. Then the father of a student is savagely beaten, setting in motion a chain reaction that will threaten everything, and everyone, Cushla most wants to protect.
As tender as it is unflinching, Trespasses is a heart-pounding, heart-rending drama of thwarted love and irreconcilable loyalties, in a place what you come from seems to count more than what you do, or whom you cherish.
","C:\Users\chris\Calibre Library\Louise Kennedy\Trespasses (60)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","60","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","290246","Historical Fiction","Trespasses","Trespasses","239bc7cb-b208-43cd-ab43-ff82ad553b8f"
"Hannah, Kristin","Kristin Hannah","**From the celebrated author of** The Nightingale **and** The Four Winds **comes Kristin Hannah's** The Women **—at once an intimate portrait of coming of age in a dangerous time and an epic tale of a nation divided.**  
 *Women can be heroes.* When twenty-year-old nursing student Frances ""Frankie"" McGrath hears these words, it is a revelation. Raised in the sun-drenched, idyllic world of Southern California and sheltered by her conservative parents, she has always prided herself on doing the right thing. But in 1965, the world is changing, and she suddenly dares to imagine a different future for herself. When her brother ships out to serve in Vietnam, she joins the Army Nurse Corps and follows his path.  
As green and inexperienced as the men sent to Vietnam to fight, Frankie is over-whelmed by the chaos and destruction of war. Each day is a gamble of life and death, hope and betrayal; friendships run deep and can be shattered in an instant....
","C:\Users\chris\Calibre Library\Kristin Hannah\The Women (61)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","61","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","443795","Fiction","The Women","Women, The","37d5554e-f350-4011-94cd-7e7df2e7daac"
"Abby, S.T.","S.T. Abby","","C:\Users\chris\Calibre Library\S.T. Abby\The Risk [1] (63)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","63","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Mindf*ck","1.0","261335","Adult","The Risk [1]","Risk [1], The","be86ab33-47f3-4e3b-9c68-a3265fcf77b2"
"Shannon, Samantha","Samantha Shannon","**A rebel who becomes a queen**
**The hotly anticipated third book in the bestselling Bone Season series – a ground-breaking, dystopian fantasy of extraordinary imagination**
Following a bloody battle against foes on every side, Paige Mahoney has risen to the dangerous position of Underqueen, ruling over London's criminal population.
But, having turned her back on Jaxon Hall and with vengeful enemies still at large, the task of stabilising the fractured underworld has never seemed so challenging.
Little does Paige know that her reign may be cut short by the introduction of Senshield, a deadly technology that spells doom for the clairvoyant community and the world as they know it…
","C:\Users\chris\Calibre Library\Samantha Shannon\The Song Rising [3] (65)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","65","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Bone Season","3.0","1156728","Fantasy & Magic, Dystopian","The Song Rising [3]","Song Rising [3], The","aebdd640-5522-4c59-8562-2b17b861ed7b"
"Shannon, Samantha","Samantha Shannon","<b>A stunning new edition of the second novel </b><b>in the bestselling Bone Season series with gorgeous new cover artwork and updated text, by the bestselling author of <i>The Priory of the Orange Tree.</i></b><br/><b><b><br/></b></b><b>'A trailblazer for young talent' </b><i><b>Independent</b></i><b><b><br/>____________________________________<br/></b>A fugitive who will not be silenced</b><br/>It is a dark time for clairvoyants. Scion is in league with the Rephaim, an extraordinarily powerful, otherworldly race that intends to make humans its slaves.<br/>In an unprecedented feat of bravery, Paige Mahoney has succeeded in leading a mass break-out from the brutal camp, Sheol I, where she and other clairvoyants were systematically imprisoned.<br/>Paige is desperate to reach the safety of the London underworld, but the ruthless leader of the Rephaim, Nashira Sargas, is not likely to let her escape so easily...","C:\Users\chris\Calibre Library\Samantha Shannon\The Mime Order [2] (66)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","66","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Bone Season","2.0","2521585","Fantasy & Magic, Dystopian","The Mime Order [2]","Mime Order [2], The","9f3e9e29-0055-490e-a042-3d3ee369f7d0"
"Shannon, Samantha","Samantha Shannon","<b>From the <i>New York Times</i> bestselling author of <i>The Bone Season</i> and <i>The Priory of the Orange Tree</i>, the stunning fourth novel set in the world of Scion.<br/> <br/> </b>Dreamwalker Paige Mahoney has eluded death again. Snatched from the jaws of captivity and consigned to a safe house in the Scion Citadel of Paris, she finds herself caught between those factions that seek Scion's downfall and those who would kill to protect the Rephaim's puppet empire.<br/> The mysterious Domino Program has plans for Paige, but she has ambitions of her own in this new citadel. With Arcturus Mesarthim-her former enemy-at her side, she embarks on an adventure that will lead her from the catacombs of Paris to the glittering hallways of Versailles. Her risks promise high reward: the Parisian underworld could yield the means to escalate her rebellion to outright war.<br/> <br/> <br/>As Scion widens its bounds and the free world trembles in its shadow, Paige must fight her own...","C:\Users\chris\Calibre Library\Samantha Shannon\The Mask Falling [4] (67)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","67","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Bone Season","4.0","1912706","Fantasy & Magic, Dystopian","The Mask Falling [4]","Mask Falling [4], The","4487aeea-284e-4c3c-bad1-d9e2ba345459"
"Shannon, Samantha","Samantha Shannon","A major event - the first book a seven-part series of dizzying imagination.
Welcome to Scion: No Safer Place. It is the year 2059. Several major world cities are under the control of a security force called Scion. Paige Mahoney works in the criminal underworld of Scion London, part of a secret cell known as the Seven Seals. The work she does is unusual: scouting for information by breaking into others’ minds. Paige is a dreamwalker, a rare kind of clairvoyant, and in this world, the voyants commit treason simply by breathing. 
But when Paige is captured and arrested, she encounters a power more sinister even than Scion. The voyant prison is a separate city—Oxford, erased from the map two centuries ago and now controlled by a powerful, otherworldly race. These creatures, the Rephaim, value the voyants highly—as soldiers in their army.   

Paige is assigned to a Rephaite keeper, Warden, who will be in charge of her care and training. He is her master. Her natural enemy. But if she wants to regain her freedom, Paige will have to learn something of his mind and his own mysterious motives.  

 *The Bone Season* introduces a compelling heroine—a young woman learning to harness her powers in a world where everything has been taken from her. It also introduces an extraordinary young writer, with huge ambition and a teeming imagination. Samantha Shannon has created a bold new reality in this riveting debut.
 **
","C:\Users\chris\Calibre Library\Samantha Shannon\The Bone Season [1] (68)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","68","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Bone Season","1.0","689073","Fantasy & Magic, Dystopian","The Bone Season [1]","Bone Season [1], The","804a985b-df98-4abd-9975-0d99a9dd383f"
"Shannon, Samantha","Samantha Shannon","<p><b>A dreamer is born </b><b>&#8211;</b><b> the exhilarating prequel to the ground-breaking, extraordinary Bone Season series</b><br/><i><br/></i><b>'Truly extraordinary and thrilling' Andy Serkis on <i>The Bone Season</i></b><br/><br/>In the perilous heart of Scion London, a dangerous and valuable poltergeist is on the loose &#8211; and it must be caught before chaos erupts on the streets of the capital. Here, the clairvoyant underworld plays by its own rules, and rival gangs will stop at nothing to win such a magnificent prize.<br/><br/>Sixteen-year-old Paige Mahoney is working for Jaxon Hall, the most notorious mime-lord in the city. He thinks she is hiding a powerful gift, but it refuses to surface. Maybe this is the opportunity she needs to secure her position in his gang, the Seven Seals...<br/><br/><br/><b>PRAISE FOR THE BONE SEASON: </b><br/><br/>'Truly extraordinary and thrilling' <i>Andy...","C:\Users\chris\Calibre Library\Samantha Shannon\The Pale Dreamer [0.5] (69)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","69","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Bone Season","0.5","932421","Fantasy & Magic, Dystopian","The Pale Dreamer [0.5]","Pale Dreamer [0.5], The","e99c6265-2b2c-49f9-9c70-c1d61d4c0477"
"Thorn, Alessa","Alessa Thorn","","C:\Users\chris\Calibre Library\Alessa Thorn\Dancing with Daggers  [2] (70)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","70","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Brides for the Blood Lords","2.0","276277","Fantasy & Magic","Dancing with Daggers  [2]","Dancing with Daggers  [2]","a0faa0ab-16a2-4cf7-92c5-a60bcc4fd0e6"
"Cass, Kiera","Kiera Cass","**Before America Singer's story began, another girl came to the palace to compete for the hand of a different prince….**
Don't miss this digital original novella set in the captivating world of Kiera Cass's #1 *New York Times* bestselling Selection series. This prequel story takes place before the events of *The Selection* and is told from the point of view of Prince Maxon's mother, Amberly. Discover a whole new Selection with this inside look at how Maxon's parents met—and how an ordinary girl named Amberly became a beloved queen.
Epic Reads Impulse is a digital imprint with new releases each month.
","C:\Users\chris\Calibre Library\Kiera Cass\The Queen [0.4] (71)\cover.jpg","0101-01-01T01:00:00+01:00","epub, mobi","","71","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","0.4","1007579","Dystopian","The Queen [0.4]","Queen [0.4], The","554beb52-64b6-4feb-b5b9-83e9b9ca5f91"
"Cass, Kiera","Kiera Cass","**Fall in love—from the very beginning. Discover the first book in the captivating, #1 *New York Times* bestselling Selection series.**
Prepare to be swept into a world of breathless fairy-tale romance, swoonworthy characters, glittering gowns, and fierce intrigue perfect for readers who loved *Divergent, Delirium* , or *The Wrath & the Dawn.*
For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape a rigid caste system, live in a palace, and compete for the heart of gorgeous Prince Maxon. But for America Singer, being Selected is a nightmare. It means turning her back on her secret love with Aspen, who is a caste below her, and competing for a crown she doesn’t want.
Then America meets Prince Maxon—and realizes that the life she’s always dreamed of may not compare to a future she never imagined.
 **Don't miss the next books in Kiera Cass's popular series, including *The Elite* , *The One* , *The Heir* , and *The Crown*.**
**
### Review
“An engrossing tale reminiscent of Shannon Hale’s Princess Academy and Ally Condie’s Matched. Fairy-tale lovers will lose themselves in America’s alternate reality and wish that the next glamorous sequel were waiting for them.” (School Library Journal)
“Cass’s immensely readable debut novel is a less drastic Hunger Games, with elaborate fashion and trappings. The fast-paced action will have readers gasping for the upcoming sequel.” (Booklist)
“A cross between The Hunger Games (minus the bloodsport) and The Bachelor (minus the bloodsport), this trilogy launch is a lot of fun. Cass deftly builds the chemistry between America and Maxon, while stroking the embers of America’s first, forbidden love.” (Publishers Weekly)
“Reality T.V. meets dystopian fairy tale in Kiera Cass’s delightful debut. Charming, captivating, and filled with just the right amount of swoon!” (Kiersten White, New York Times bestselling author of Paranormalcy)
### Review
“An engrossing tale reminiscent of Shannon Hale’s Princess Academy and Ally Condie’s Matched. Fairy-tale lovers will lose themselves in America’s alternate reality and wish that the next glamorous sequel were waiting for them.” (School Library Journal )
“Cass’s immensely readable debut novel is a less drastic Hunger Games, with elaborate fashion and trappings. The fast-paced action will have readers gasping for the upcoming sequel.” (Booklist )
“A cross between The Hunger Games (minus the bloodsport) and The Bachelor (minus the bloodsport), this trilogy launch is a lot of fun. Cass deftly builds the chemistry between America and Maxon, while stroking the embers of America’s first, forbidden love.” (Publishers Weekly )
“Reality T.V. meets dystopian fairy tale in Kiera Cass’s delightful debut. Charming, captivating, and filled with just the right amount of swoon!” (Kiersten White, New York Times bestselling author of Paranormalcy ) 
","C:\Users\chris\Calibre Library\Kiera Cass\The Selection [1] (72)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","72","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","1.0","1017871","Dystopian","The Selection [1]","Selection [1], The","220cf5c3-904b-4c0e-a79f-9315bc33c544"
"Cass, Kiera","Kiera Cass","Don’t miss this captivating novella set in the world of the #1 *New York Times* bestselling Selection series!
Go behind the scenes of the competition with this story from the point of view of Prince Maxon.
Before America Singer was chosen to compete in the Selection, there was another girl in Prince Maxon’s life . . . . In *The Prince,* follow Prince Maxon through the week leading up to the beginning of the Selection—and the day he first meets America.
 *The Prince* also includes a teaser to *The Elite,* the enchanting second book in the Selection series.
Epic Reads Impulse is a digital imprint with new releases each month.
","C:\Users\chris\Calibre Library\Kiera Cass\The Prince [0.5] (73)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","73","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","0.5","803731","Dystopian","The Prince [0.5]","Prince [0.5], The","afaa36b8-c1af-4952-909e-f7d7b376faad"
"Cass, Kiera","Kiera Cass","The second book in Kiera Cass’s #1 *New York Times* bestselling Selection series
With even more glamour, intrigue, and swoon-worthy romance, this sparkling sequel to *The Selection* will captivate readers who loved Veronica Roth’s *Divergent,* Lauren Oliver’s *Delirium,* or Renée Ahdieh’s *The Wrath & the Dawn*.
Thirty-five girls came to the palace to compete in the Selection, and to win Prince Maxon’s heart. Now six girls remain, and the competition is fiercer than ever—but America Singer is still struggling to decide where her heart truly lies. Is it Prince Maxon—and life as the queen—that she wants? Or is it still Aspen, her first love?
**
Amazon.com Review 
#### Kiera Cass's Top 10 Princess Movies
In this Amazon exclusive list, author Kiera Cass shares her all-time favorite princess movies.
  * *The Young Victoria* \- The clothes alone make this one rad, but the girl falling for the guy who she didn’t want to and everyone else did… and it turning out perfect? Love it!
  * *The Princess Diaries* \- “I’m still waiting for normal body parts to arrive!” 
  * *Elizabeth* \- It’s cool that you beheaded my mom. I’ll make up for it by being a girl and running a country at the same time. Like a champ.
  * *Enchanted* \- “Oh, Giselle! We shall be married in the morning!”
  * *The Prince and Me* \- Gotta love a smart girl who chooses herself. *cough cough*
  * *Marie Antoinette* \- I think I’d go on a crazy spending spree too if my hubby didn’t sleep with me for the first seven years of our marriage. Decadence at its finest!
  * *Ever After* \- Classic Cinderella. Don’t we all want to be the girl who was meant for more than she ever knew? Bonus: hot prince.
  * *The Princess Bride* \- “Anybody want a peanut?”
  * *Star Wars* \- Princess Lea: regal, hardcore, and rocker of wicked buns. 


### Review 
“Deliciously entertaining.” — Publishers Weekly 
### From the Back Cover 
The selection began with 35 girls. Now, with the group narrowed down to the Elite, the competition to win Prince Maxon's love is fiercer than ever. The closer America gets to the crown, the more she struggles to figure out where her heart truly lies. Each moment she spends with Maxon is like a fairy tale, filled with breathless, glittering romance. But whenever she sees her first love, Aspen, standing guard, she's swept up in longing for the life they'd planned to share.
America is desperate for more time. But while she's torn between her two futures, the rest of the Elite know exactly what they want—and America's chance to choose is about to slip away. 
### About the Author 
Kiera Cass is the #1 *New York Times* bestselling author of the Selection series and *The Siren*. She is a wife and mom and too many other things to list. If she could make a crown out of anything, it would be the unending tears of her readers. You can learn more about Kiera and her books at www.kieracass.com. 
","C:\Users\chris\Calibre Library\Kiera Cass\The Elite [2] (74)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","74","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","2.0","1793858","Dystopian","The Elite [2]","Elite [2], The","34ec697e-cd20-497c-995f-24282d0e114c"
"Cass, Kiera","Kiera Cass","Don’t miss this captivating novella from the world of the #1 *New York Times* bestselling Selection series! Set just after the Selection is narrowed down to the Elite, this story gives readers a glimpse into the heart and mind of America’s first love.
Before America Singer met Prince Maxon, she was in love with a boy named Aspen Leger—who never imagined that he would follow America to the palace as a member of the royal guard . . .
 *The Guard* also includes a teaser to *The One,* the thrilling third novel in the Selection series.
Epic Reads Impulse is a digital imprint with new releases each month.
","C:\Users\chris\Calibre Library\Kiera Cass\The Guard [2.5] (75)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","75","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","2.5","880242","","The Guard [2.5]","Guard [2.5], The","f220d27b-3cab-4b50-abff-0c5e3e41a58e"
"Cass, Kiera","Kiera Cass","While America Singer's heart was torn between Aspen and Prince Maxon, her friend Marlee knew exactly what she wanted—and paid the price.
Revisit the captivating world of Kiera Cass's #1 *New York Times* bestselling Selection series in this digital original novella. Told from Marlee's point of view, this all-new 64-page story returns to the fateful Halloween when Marlee and Carter were discovered and reveals how that night—and Prince Maxon—changed their lives forever.
 *The Favorite* also features a teaser to *The Siren*!
Epic Reads Impulse is a digital imprint with new releases each month.
**
### Review
Praise for The Selection: ""Reality TV meets dystopian fairy tale in Kiera Cass's delightful debut. Charming, captivating, and filled with just the right amount of swoon!"" Kiersten White, New York Times bestselling author of Paranormalcy
### About the Author
 **Kiera Cass** is the #1 *New York Times* bestselling author of the Selection series and *The Siren*. In her spare time she enjoys reading, dancing, making videos, and eating unhealthy amounts of cake. Cass is a graduate of Radford University and currently lives in Christiansburg, Virginia, with her family. 
","C:\Users\chris\Calibre Library\Kiera Cass\The Favorite [2.6] (76)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","76","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","2.6","1273966","Dystopian","The Favorite [2.6]","Favorite [2.6], The","462de355-52b9-4e36-b5b8-eff207967844"
"Cass, Kiera","Kiera Cass","The Selection changed the lives of thirty-five girls forever. And now, the time has come for one winner to be chosen. 
America never dreamed she would find herself anywhere close to the crown—or to Prince Maxon's heart. But as the competition approaches its end and the threats outside the palace walls grow more vicious, America realizes just how much she stands to lose—and how hard she'll have to fight for the future she wants. 
From the very first page of The Selection, this #1 New York Times bestselling series has captured readers' hearts and swept them away on a captivating journey... Now, in The One, Kiera Cass delivers a satisfying and unforgettable conclusion that will keep readers sighing over this electrifying fairy-tale long after the final page is turned.
","C:\Users\chris\Calibre Library\Kiera Cass\The One [3] (77)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","77","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","3.0","467677","Dystopian","The One [3]","One [3], The","f65fdc56-7af7-4679-8491-4650da6567be"
"Cass, Kiera","Kiera Cass","Kiera Cass's #1 New York Times bestselling Selection series has captured the hearts of readers from its very first page. Now the end of the journey is here. Prepare to be swept off your feet by The Crown--the eagerly awaited, wonderfully romantic fifth and final book in the Selection series.
In The Heir, a new era dawned in the world of The Selection. Twenty years have passed since America Singer and Prince Maxon fell in love, and their daughter is the first princess to hold a Selection of her own.
Eadlyn didn't think she would find a real partner among the Selection's thirty-five suitors, let alone true love. But sometimes the heart has a way of surprising you...and now Eadlyn must make a choice that feels more difficult--and more important--than she ever expected.
","C:\Users\chris\Calibre Library\Kiera Cass\The Crown [5] (79)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","79","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","5.0","2684869","Dystopian","The Crown [5]","Crown [5], The","e5957d78-1d9c-40f2-90ee-dd15d21c80f3"
"Schwab, V. E.","V. E. Schwab","Kell is one of the last Antari—magicians with a rare, coveted ability to travel between parallel Londons; Red, Grey, White, and, once upon a time, Black.
Kell was raised in Arnes—Red London—and officially serves the Maresh Empire as an ambassador, traveling between the frequent bloody regime changes in White London and the court of George III in the dullest of Londons, the one without any magic left to see.
Unofficially, Kell is a smuggler, servicing people willing to pay for even the smallest glimpses of a world they'll never see. It's a defiant hobby with dangerous consequences, which Kell is now seeing firsthand.
After an exchange goes awry, Kell escapes to Grey London and runs into Delilah Bard, a cut-purse with lofty aspirations. She first robs him, then saves him from a deadly enemy, and finally forces Kell to spirit her to another world for a proper adventure.
Now perilous magic is afoot, and treachery lurks at every turn. To save all of the worlds, they'll first need to stay alive.
","C:\Users\chris\Calibre Library\V. E. Schwab\A Darker Shade of Magic [1] (80)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","80","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","Shades of Magic","1.0","469063","Fantasy & Magic","A Darker Shade of Magic [1]","Darker Shade of Magic [1], A","cb5e5829-2fe6-4a98-88fd-b35fad1f8120"
"Bree, J","J Bree","","C:\Users\chris\Calibre Library\J Bree\Broken Bonds [1] (81)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","81","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Bonds that Tie","1.0","378247","Fantasy & Magic, Adult","Broken Bonds [1]","Broken Bonds [1]","a0156f95-52a5-4561-94e8-421d5130c7a4"
"Cass, Kiera","Kiera Cass","<p>Meet Prince Maxon before he fell in love with America, and a girl named Amberly before she became queen. See the Selection through the eyes of a guard who watched his first love drift away and a girl who fell for a boy who wasn't the prince. This gorgeous collection features four novellas from the captivating world of Kiera Cass's #1 New York Times bestselling Selection series, as well as exclusive, never-before-seen bonus content.</p><p>This series companion is a must-have for any Selection fan, and includes:</p> <li> The Prince</li> <li> The Guard</li> <li> The Queen </li> <li> The Favorite </li> <li> Exclusive new scenes from The Selection, The Elite, and The One</li> <li> Introductions to each novella from Kiera Cass</li> <li> A map of Ill&#233;a and other illustrations</li> <li> And more!</li>","C:\Users\chris\Calibre Library\Kiera Cass\Happily Ever After (82)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","82","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","The Selection","6.0","6057968","Dystopian","Happily Ever After","Happily Ever After","d2e0935f-aa5c-4a93-9f01-be051125ad28"
