Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
195853531,"Lore of the Wilds (Lore of the Wilds, #1)",Analeigh Sbrana,"Sbrana, Analeigh",,"=""0063380595""","=""9780063380592""",0,3.35,Harper Voyager,Hardcover,339,2024,2024,,2024/05/08,to-read,to-read (#189),to-read,,,,0,0
202747689,The Four,Ellie Keel,"Keel, Ellie",,"=""0063394383""","=""9780063394384""",0,3.39,William Morrow Paperbacks,Paperback,448,2024,2024,,2024/05/08,to-read,to-read (#188),to-read,,,,0,0
58505877,"Run, Rose, Run",Dolly Parton,"Parton, Dolly",James Patterson,"=""075955434X""","=""9780759554344""",4,3.80,"Little, Brown and Company",Hardcover,439,2022,2022,2024/05/06,2024/04/28,,,read,,,,1,0
58124274,"Corrupt (Devil's Night, #1)",Penelope Douglas,"Douglas, Penelope",,"=""1518783872""","=""9781518783876""",0,3.80,CreateSpace Independent Publishing Platform,Paperback,516,2021,2015,,2024/05/05,to-read,to-read (#187),to-read,,,,0,0
209937982,Bellona : The Lost Goddesses (The Gods Universe Book 12),Alessa Thorn,"Thorn, Alessa",,"=""""","=""""",3,4.40,Thornstar Publishing Pty Ltd,Kindle Edition,199,2024,,2024/05/02,2024/04/28,,,read,,,,1,0
37584991,"The Proposal (The Wedding Date, #2)",Jasmine Guillory,"Guillory, Jasmine",,"=""0399587683""","=""9780399587689""",3,3.48,Berkley,Paperback,325,2018,2018,2024/04/27,2024/04/27,,,read,,,,1,0
75699753,"Ryan Rule (New York Ruthless, #1)",Sadie Kincaid,"Kincaid, Sadie",,"=""""","=""""",2,3.94,Red House Press,Kindle Edition,268,2023,2021,2024/04/16,2024/03/29,,,read,,,,1,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",0,4.63,St. Martin's Press,Hardcover,564,2015,2015,,2024/04/27,to-read,to-read (#186),to-read,,,,0,0
36314220,Ghosts of the Shadow Market,Cassandra Clare,"Clare, Cassandra","Sarah Rees Brennan, Maureen Johnson, Kelly Link, Robin Wasserman","=""1406385379""","=""9781406385373""",0,4.27,Walker Books,Paperback,617,2019,2019,,2024/04/26,to-read,to-read (#185),to-read,,,,0,0
157981739,"Faebound (Faebound, #1)",Saara El-Arifi,"El-Arifi, Saara",,"=""0593723007""","=""9780593723005""",0,3.60,Del Rey,Hardcover,386,2024,2024,,2024/04/13,to-read,to-read (#184),to-read,,,,0,0
208818334,"Burn of the Everflame (Kindred's Curse, #4)",Penn Cole,"Cole, Penn",,"=""""","=""""",0,4.42,,Kindle Edition,,,,,2024/04/13,to-read,to-read (#183),to-read,,,,0,0
124936017,"Heat of the Everflame (Kindred's Curse, #3)",Penn Cole,"Cole, Penn",,"=""""","=""""",0,4.30,,Kindle Edition,1026,2023,2023,,2024/04/13,to-read,to-read (#182),to-read,,,,0,0
124935969,"Glow of the Everflame (Kindred's Curse, #2)",Penn Cole,"Cole, Penn",,"=""""","=""""",0,4.40,,Kindle Edition,637,2023,2023,,2024/04/13,to-read,to-read (#181),to-read,,,,0,0
123471760,"Spark of the Everflame (Kindred's Curse, #1)",Penn Cole,"Cole, Penn",,"=""""","=""""",0,4.22,,Kindle Edition,438,2023,2023,,2024/04/13,to-read,to-read (#180),to-read,,,,0,0
76715522,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731067""","=""9781639731060""",5,4.70,Bloomsbury Publishing,Hardcover,984,2023,2018,2024/04/12,2024/03/10,,,read,,,,1,0
201306678,The Hunter's Gambit,Ciel Pierlot,"Pierlot, Ciel",,"=""1915998174""","=""9781915998170""",0,2.91,Angry Robot,Paperback,400,2024,2024,,2024/04/07,to-read,to-read (#179),to-read,,,,0,0
61767292,"Icebreaker (UCMH, #1)",Hannah  Grace,"Grace, Hannah",,"=""""","=""""",0,3.83,Pig & Bear Publishing,Kindle Edition,435,2022,2022,,2024/04/05,to-read,to-read (#178),to-read,,,,0,0
74045390,"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,"Asher, Lauren",,"=""1737507714""","=""9781737507710""",0,3.84,Bloom Books,Paperback,448,2022,2021,,2024/04/05,to-read,to-read (#177),to-read,,,,0,0
58545703,"Hooked (Never After, #1)",Emily McIntire,"McIntire, Emily",,"=""173750832X""","=""""",0,3.79,,Kindle Edition,312,2021,2021,,2024/04/05,to-read,to-read (#176),to-read,,,,0,0
127282597,Green Dot,Madeleine Gray,"Gray, Madeleine",,"=""1250890594""","=""9781250890597""",0,3.70,Henry Holt and Co.,Hardcover,320,2024,2024,,2024/04/05,to-read,to-read (#175),to-read,,,,0,0
41880044,The Most Fun We Ever Had,Claire Lombardo,"Lombardo, Claire",,"=""0385544251""","=""9780385544252""",0,3.92,Doubleday,Hardcover,532,2019,2019,,2024/04/03,to-read,to-read (#174),to-read,,,,0,0
27409074,Viral,Helen  Fitzgerald,"Fitzgerald, Helen",,"=""0571323510""","=""9780571323517""",0,3.28,Faber & Faber,Paperback,253,2016,2016,,2024/04/03,to-read,to-read (#173),to-read,,,,0,0
